id,img_url
DEV_000,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_000.png
DEV_001,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_001.png
DEV_002,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_002.png
DEV_003,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_003.png
DEV_004,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_004.png
DEV_005,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_005.png
DEV_006,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_006.png
DEV_007,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_007.png
DEV_008,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_008.png
DEV_009,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_009.png
DEV_010,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_010.png
DEV_011,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_011.png
DEV_012,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_012.png
DEV_013,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_013.png
DEV_014,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_014.png
DEV_015,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_015.png
DEV_016,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_016.png
DEV_017,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_017.png
DEV_018,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_018.png
DEV_019,https://cfiles.dacon.co.kr/competitions/236680_dev/DEV_019.png
